,PartNumber,nQuebras,LargerDiameter,StemDiameter,TotalLength,ChannelLength,PropellerAngle,Refrigeration,Supplier__3M TECHNICAL CERAMICS ZWEIGNIEDERLA,Supplier__ALLIANCE CNC,Supplier__BLICKLE WERKZEUGE GMBH & CO KG,Supplier__BOTEK-PRAEZISIONS-BOHRTECHNIK,Supplier__FERRAMENTAS GERAIS COMERCIO E,Supplier__FERRAMENTAS NIPOTEC IND.E,Supplier__FORM TOOL TECHNOLOGY,"Supplier__FORM TOOL TECHNOLOGY, INC.",Supplier__FULLERTON TOOL COMPANY INC.,Supplier__GUHRING BRASIL FERR.LTDA,Supplier__GUHRING OHG,Supplier__HARTMETALLWERKZEUGFABRIK ANDREAS,Supplier__ISCAR DO BRASIL COMERCIAL LTDA,Supplier__KOMET GROUP GMBH,Supplier__LMT TOOLS BRASIL FERRAMENTAS LTDA.,Supplier__MIKRON CORP. MONROE,Supplier__NÃO ATRIBUÍDO,Supplier__OSBORN INTERNATIONAL GMBH ZN DER JA,Supplier__OSTREM TOOL COMPANY,Supplier__ROBERT BOSCH - TOOLING CENTER,Supplier__SANDVIK DO BRASIL S/A,Supplier__STARTEC INDUSTRIA E COMERCIO LTDA E,Supplier__SUMITOMO ELECTRIC HARDMETAL DO BRAS,Supplier__SUMITOMO ELECTR¡C HARTMETALL GMBH,Supplier__SUMITOMO ELETRIC HARTMETTAL GMBH,Supplier__TBT.TIEFBOHRTECHNIK GMBH,Supplier__TECNAL FERRAMENTARIA LTDA,Supplier__WALTER DO BRASIL LTDA.,Supplier__WEISSKOPF WEKZEUGE GMBH,Supplier__WERKZEUGFABRIK MANFRED SCHWEGLER,Supplier__WOLF WERKZEUGTECHNOLOGIE GMBH,family_000-AM,family_001-BA,family_004-BF,family_005-BG,family_007-BK,family_008-BN,family_009-BP,family_011-BR,family_012-BS,family_018-BY,family_061-FC,family_063-FG,family_080-GC,family_088-GL,family_092-GP,family_198-PG,family_210-RA,family_212-RC,family_217-RH,family_219-RK,Desconhecido,HSS,HSS-Co,HSS-E,K05-UF,K05/15-UF,K10-F,K15,K15/K20,K20-F,K30-40/UF,K30-40UF,K30/40,K30/40-UF,K30/K40-UF,Na,S20,S20/B,k30/40-UF,faixa_de_quebras
20,4721000345,68,0.015403162896248492,0.1592920353982301,0.18285714285714286,0.20863309352517986,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,4706100183,2,0.07807956882490603,0.42477876106194684,0.2742857142857143,0.1366906474820144,0.0025002500250025004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
22,4700800130,34,0.023473512516842775,0.42477876106194684,0.44,0.2158273381294964,0.0015001500150015,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
23,4700800131,6,0.02489185164172754,0.1592920353982301,0.41714285714285715,0.2158273381294964,0.003000300030003,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
24,4706300110,69,0.03552939507836324,0.247787610619469,0.2,0.04316546762589928,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,4700900093,1,0.04971278632721084,0.247787610619469,0.37142857142857144,0.11870503597122302,0.003000300030003,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
26,4700500639,34,0.11680022693426001,0.6902654867256637,0.37142857142857144,0.31654676258992803,0.003000300030003,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
27,4701200036,10,0.0031912630309907097,0.026548672566371685,0.08571428571428572,0.06115107913669065,0.0015001500150015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
28,4701200037,1,0.00744628040564499,0.07079646017699115,0.05714285714285714,0.07553956834532374,0.0015001500150015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
29,4701200053,3,0.011843131692787747,0.1592920353982301,0.08571428571428572,0.050359712230215826,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
